"ref","article_id","study_id","participant_id","effect_id","effect_size","outlier","cooks","cooks_flag","intrcpt","intrcpt.1","hatvalues","hat_flag"
"laakasuo2021_s2",10,16,22,92,-0.453124234652062,"",0.00533938842490344,"",-0.0731552943620336,"",0.00730775088533748,""
"laakasuo2021_s2",10,16,23,93,-0.0406130953621578,"",0.000276696544758907,"",0.016616873600491,"",0.00555995980272548,""
"laakasuo2021_s2",10,16,23,94,-0.187609027983085,"",0.000732348399585695,"",-0.0270329470925997,"",0.00735603500763212,""
"laakasuo2023a_s1",11,17,24,95,-0.280580055576224,"",5.86770449287123e-05,"",-0.00765644907019212,"",0.00792211060301124,""
"laakasuo2023a_s1",11,17,24,96,-0.300116532259017,"",6.47609420614496e-05,"",-0.00804783350933845,"",0.00545586680862226,""
"laakasuo2023a_s1",11,17,25,97,0.0555904210128347,"",8.97731077840423e-05,"",-0.00946000005653076,"",0.00800369999785536,""
"laakasuo2023a_s1",11,17,25,98,0.150185058779842,"",0.000278283821542414,"",0.0166889108323368,"",0.00538535707799245,""
"laakasuo2023b_s2",12,18,26,99,-0.145480837517717,"",2.33403249335009e-06,"",-0.00152607919929096,"",0.00583885400495172,""
"laakasuo2023b_s2",12,18,27,100,0.280419358204077,"",0.00109159813725506,"",0.0330835591672252,"",0.00573799823119977,""
"laakasuo2023b_s2",12,18,26,101,-0.180590766681822,"",0.000101201704110453,"",-0.0100505122607809,"",0.00583057579425707,""
"laakasuo2023b_s2",12,18,27,102,0.150571695797656,"",4.23111636042234e-08,"",0.00020547918801752,"",0.00577743793530385,""
"laakasuo2023b_s3",12,19,28,103,-0.423627387220495,"TRUE",7.52260060826178e-06,"",0.00274064372210004,"",0.00726838533046376,""
"laakasuo2023b_s3",12,19,29,104,0.0551355827198284,"",0.000322818457285529,"",0.0179709116619976,"",0.00726885161049489,""
"laakasuo2023b_s3",12,19,28,105,-0.473027461314969,"TRUE",0.000178810961052131,"",-0.0133941258978801,"",0.00722926438171715,""
"laakasuo2023b_s3",12,19,29,106,-0.0368726730996078,"",0.000262137107437789,"",-0.0161750709204054,"",0.00727037656698168,""
"laakasuo2023b_s4",12,20,30,107,-0.448849181726868,"",0.00110476236202908,"",-0.0332881355705949,"",0.00590144208268998,""
"laakasuo2023b_s4",12,20,31,108,1.33352509100791,"TRUE",0.0246651909405032,"",0.161627907999063,"",0.00495729367389722,""
"laakasuo2023b_s4",12,20,32,109,-0.306414570073922,"",0.000558550312957883,"",-0.0236296065843432,"",0.0058351384104773,""
"laakasuo2023b_s4",12,20,30,110,-0.307885445293498,"",1.25307742812788e-07,"",0.000353564629642069,"",0.00597873145755918,""
"laakasuo2023b_s4",12,20,31,111,0.522100365769096,"",0.000973232579853714,"",-0.0309223759751314,"",0.00585930602248872,""
"laakasuo2023b_s4",12,20,32,112,-0.196785125437655,"",7.08902521311741e-06,"",0.00265905596410798,"",0.00587407476326307,""
"laakasuo2023b_s5",12,21,33,113,-0.098362992047172,"",0.00261484245123129,"",0.0508322551757814,"",0.00707173176467597,""
