"","X","ref","article_id","study_id","participant_id","efN_id","dv_var","pct_female","age_mean","age_sd","dv_type","dv_synonym","intent","in_action","RQ","harm","agent_intel","aiType_a","aiType_b","PMA","PMC","responsible","responsibleCat","humanN","humanMean","humanSD","aiN","aiMean","aiSD","aiN.1","aiN.0","humanN.1","humanN.0","yi","vi","yi_orig","og_participant_id","og_efN_id","apa_ref","study_num","dv_var_cap","apa_ref_display","study_display","slab_labels"
"35",35,"bigman2018_s4",2,4,4,35,"moral",57.9399141630901,36.0815450643777,11.5324599320893,"continuous","moral","sidee","action",61,"harm","implied","AI","AI",-1.09529400224416,-2.07325531396061,-0.73385289231261,"punishment",114,3.7719298245614,1.99128671755024,119,2.49579831932773,1.84975467718286,NA,NA,NA,NA,-0.662390149611868,0.0181168377577319,NA,4,6,"Bigman et al., (2018)","Study 4","Moral"," "," ","    "
"36",36,"bigman2018_s4",2,4,4,36,"moral",57.9399141630901,36.0815450643777,11.5324599320893,"continuous","moral","sidee","action",61,"harm","implied","AI","AI",1.03565142283516,-2.07325531396061,-0.73385289231261,"punishment",114,3.7719298245614,1.99128671755024,119,2.49579831932773,1.84975467718286,NA,NA,NA,NA,-0.662390149611868,0.0181168377577319,NA,4,6,"Bigman et al., (2018)","Study 4","Moral"," "," ","    "
"37",37,"bigman2018_s4",2,4,4,37,"right",57.9399141630901,36.0815450643777,11.5324599320893,"continuous","right","sidee","action",61,"harm","implied","AI","AI",-1.05180831231263,-2.07325531396061,-0.450042631385116,"blame",114,3.2719298245614,2.08782856126324,119,2.18487394957983,1.69228752292506,NA,NA,NA,NA,-0.571443291250618,0.0178760367380163,NA,4,7,"Bigman et al., (2018)","Study 4","Right"," "," ","    "
"38",38,"bigman2018_s4",2,4,4,38,"right",57.9399141630901,36.0815450643777,11.5324599320893,"continuous","right","sidee","action",61,"harm","implied","AI","AI",-1.09529400224416,-2.07325531396061,-0.450042631385116,"blame",114,3.2719298245614,2.08782856126324,119,2.18487394957983,1.69228752292506,NA,NA,NA,NA,-0.571443291250618,0.0178760367380163,NA,4,7,"Bigman et al., (2018)","Study 4","Right"," "," ","    "
"39",39,"bigman2018_s4",2,4,4,39,"right",57.9399141630901,36.0815450643777,11.5324599320893,"continuous","right","sidee","action",61,"harm","implied","AI","AI",1.03565142283516,-2.07325531396061,-0.450042631385116,"blame",114,3.2719298245614,2.08782856126324,119,2.18487394957983,1.69228752292506,NA,NA,NA,NA,-0.571443291250618,0.0178760367380163,NA,4,7,"Bigman et al., (2018)","Study 4","Right"," "," ","    "
"40",40,"bigman2018_s4",2,4,4,40,"right",57.9399141630901,36.0815450643777,11.5324599320893,"continuous","right","sidee","action",61,"harm","implied","AI","AI",-1.05180831231263,-2.07325531396061,-0.73385289231261,"punishment",114,3.2719298245614,2.08782856126324,119,2.18487394957983,1.69228752292506,NA,NA,NA,NA,-0.571443291250618,0.0178760367380163,NA,4,7,"Bigman et al., (2018)","Study 4","Right"," "," ","    "
"41",41,"bigman2018_s4",2,4,4,41,"right",57.9399141630901,36.0815450643777,11.5324599320893,"continuous","right","sidee","action",61,"harm","implied","AI","AI",-1.09529400224416,-2.07325531396061,-0.73385289231261,"punishment",114,3.2719298245614,2.08782856126324,119,2.18487394957983,1.69228752292506,NA,NA,NA,NA,-0.571443291250618,0.0178760367380163,NA,4,7,"Bigman et al., (2018)","Study 4","Right"," "," ","    "
"42",42,"bigman2018_s4",2,4,4,42,"right",57.9399141630901,36.0815450643777,11.5324599320893,"continuous","right","sidee","action",61,"harm","implied","AI","AI",1.03565142283516,-2.07325531396061,-0.73385289231261,"punishment",114,3.2719298245614,2.08782856126324,119,2.18487394957983,1.69228752292506,NA,NA,NA,NA,-0.571443291250618,0.0178760367380163,NA,4,7,"Bigman et al., (2018)","Study 4","Right"," "," ","    "
"43",43,"bigman2018_s4",2,4,4,43,"permissible",57.9399141630901,36.0815450643777,11.5324599320893,"continuous","permissible","sidee","action",61,"harm","implied","AI","AI",-1.05180831231263,-2.07325531396061,-0.450042631385116,"blame",114,4.52631578947368,2.14191431339892,119,2.88235294117647,2.09590589850638,NA,NA,NA,NA,-0.773467039761162,0.0184590921596505,NA,4,8,"Bigman et al., (2018)","Study 4","Permissible"," "," ","    "
"44",44,"bigman2018_s4",2,4,4,44,"permissible",57.9399141630901,36.0815450643777,11.5324599320893,"continuous","permissible","sidee","action",61,"harm","implied","AI","AI",-1.09529400224416,-2.07325531396061,-0.450042631385116,"blame",114,4.52631578947368,2.14191431339892,119,2.88235294117647,2.09590589850638,NA,NA,NA,NA,-0.773467039761162,0.0184590921596505,NA,4,8,"Bigman et al., (2018)","Study 4","Permissible"," "," ","    "
"45",45,"bigman2018_s4",2,4,4,45,"permissible",57.9399141630901,36.0815450643777,11.5324599320893,"continuous","permissible","sidee","action",61,"harm","implied","AI","AI",1.03565142283516,-2.07325531396061,-0.450042631385116,"blame",114,4.52631578947368,2.14191431339892,119,2.88235294117647,2.09590589850638,NA,NA,NA,NA,-0.773467039761162,0.0184590921596505,NA,4,8,"Bigman et al., (2018)","Study 4","Permissible"," "," ","    "
