"ref","article_id","study_id","participant_id","efN_id","pct_female","age_mean","age_sd","aiN","aiMean","aiSD","aiN.1","aiN.0","humanN","humanMean","humanSD","humanN.1","humanN.0","dv_var","dv_type","dv_synonym","intent","in_action","RQ","harm","agent_intel","aiType_a","aiType_b","PMA","PMC","responsible","responsibleCat","yi","vi"
"bigman2018_s5",2,5,5,63,61.3186813186813,37.6307692307693,11.6325883982502,224,3.89732142857143,2.31260766842518,NA,NA,231,5.65800865800866,2.20077326724898,NA,NA,"permissible","continuous","permissible",NA,"action",59.5,"harm","implied","AI","AI",-1.33059430744691,-2.78641699822908,-0.329449583913678,"blame",-0.778974240885792,0.00946010418390938
"bigman2018_s5",2,5,5,64,61.3186813186813,37.6307692307693,11.6325883982502,224,3.89732142857143,2.31260766842518,NA,NA,231,5.65800865800866,2.20077326724898,NA,NA,"permissible","continuous","permissible",NA,"action",59.5,"harm","implied","AI","AI",-1.14294585553574,-2.78641699822908,-0.54014256227623,"punishment",-0.778974240885792,0.00946010418390938
"bigman2018_s5",2,5,5,65,61.3186813186813,37.6307692307693,11.6325883982502,224,3.89732142857143,2.31260766842518,NA,NA,231,5.65800865800866,2.20077326724898,NA,NA,"permissible","continuous","permissible",NA,"action",59.5,"harm","implied","AI","AI",-1.57530582569537,-2.78641699822908,-0.54014256227623,"punishment",-0.778974240885792,0.00946010418390938
"bigman2018_s5",2,5,5,66,61.3186813186813,37.6307692307693,11.6325883982502,224,3.89732142857143,2.31260766842518,NA,NA,231,5.65800865800866,2.20077326724898,NA,NA,"permissible","continuous","permissible",NA,"action",59.5,"harm","implied","AI","AI",-1.33059430744691,-2.78641699822908,-0.54014256227623,"punishment",-0.778974240885792,0.00946010418390938
"cassioli2023_s1",3,6,6,67,64.7,24.6,3,34,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,"continuous_inferential","moral",NA,NA,48,"harm","notImplied","AI","AI",NA,NA,NA,NA,-1.07896455542267,0.13560553633218
"chu2023_s2",4,7,7,68,65.7258064516129,29.8790322580645,7.11683041620666,121,6.38842975206612,2.51121451634611,NA,NA,127,6.5748031496063,2.37887423368125,NA,NA,"permissible","continuous","permissible","sidee","action",61,"harm","notImplied","robot","mechanical",NA,NA,0.0496787253692709,"blame",-0.0760146277084657,0.0161501282023554
"chu2023_s2",4,7,8,69,58.0188679245283,30.2099056603774,6.60043669237771,218,5.69724770642202,2.70178158376602,NA,NA,206,5.57281553398058,2.63411739926742,NA,NA,"permissible","continuous","permissible","sidee","inaction",61,"harm","notImplied","robot","mechanical",NA,NA,0.0803107504792678,"blame",0.046536162722539,0.0094440786859559
"chu2023_s2",4,7,9,70,52.5862068965517,30.8060344827586,7.8762813296137,122,5,2.53569557836025,NA,NA,110,3.70909090909091,2.4731417991357,NA,NA,"permissible","continuous","permissible","meane","action",61,"harm","notImplied","robot","mechanical",NA,NA,-0.453262102727802,"blame",0.513395208759261,0.0178556791963004
"chu2023_s2",4,7,7,71,65.7258064516129,29.8790322580645,7.11683041620666,121,6.52066115702479,2.22523097510393,NA,NA,127,6.48818897637795,2.44581320826403,NA,NA,"wrong","continuous","wrong","sidee","action",61,"harm","notImplied","robot","mechanical",NA,NA,0.0496787253692709,"blame",0.013829853158954,0.0161388641725424
"chu2023_s2",4,7,8,72,58.0188679245283,30.2099056603774,6.60043669237771,218,5.29816513761468,2.65671852099405,NA,NA,206,5.53883495145631,2.66612838911787,NA,NA,"wrong","continuous","wrong","sidee","inaction",61,"harm","notImplied","robot","mechanical",NA,NA,0.0803107504792678,"blame",-0.0902725529126173,0.00945113472294697
"chu2023_s2",4,7,9,73,52.5862068965517,30.8060344827586,7.8762813296137,122,4.79508196721311,2.51257506640105,NA,NA,110,3.85454545454545,2.38818330876496,NA,NA,"wrong","continuous","wrong","meane","action",61,"harm","notImplied","robot","mechanical",NA,NA,-0.453262102727802,"blame",0.381951496338151,0.0176020419229771
"chu2023_s2",4,7,7,74,65.7258064516129,29.8790322580645,7.11683041620666,121,4.44628099173554,2.50316603931614,NA,NA,127,4.38582677165354,2.6964033778541,NA,NA,"acceptable","continuous","acceptable","sidee","action",61,"harm","notImplied","robot","mechanical",NA,NA,0.0496787253692709,"blame",0.0231456347424626,0.0161395586394159
"chu2023_s2",4,7,8,75,58.0188679245283,30.2099056603774,6.60043669237771,218,4.20183486238532,2.56088916194997,NA,NA,206,3.74757281553398,2.37761284916735,NA,NA,"acceptable","continuous","acceptable","sidee","inaction",61,"harm","notImplied","robot","mechanical",NA,NA,0.0803107504792678,"blame",0.183320938682202,0.00948115528043513
"chu2023_s2",4,7,9,76,52.5862068965517,30.8060344827586,7.8762813296137,122,4.12295081967213,2.3795890639486,NA,NA,110,3.42727272727273,2.13944642976983,NA,NA,"acceptable","continuous","acceptable","meane","action",61,"harm","notImplied","robot","mechanical",NA,NA,-0.453262102727802,"blame",0.305606467957376,0.0174889134050944
